title,text,date
,NASA astronaut's hair 'magically transformed' after unexpectedly spending 9 months in space?,2025-03-25
,"Image doesn't show 'world's oldest pyramid,' Gunung Padang, in Indonesia",2025-03-25
,No evidence clip of Vance criticizing Musk is authentic,2025-03-25
,"No, Musk didn't offer Dawn Staley $10M",2025-03-25
,"Don't fall for AI-generated image showing Canada's PM Mark Carney, Ghislaine Maxwell and Tom Hanks",2025-03-25
,Authentic photo shows JFK. Here's what we know about the man beside him,2025-03-25
,Bean soup has been on daily menu of US Senate dining room since 1903,2025-03-25
,Space photo shows NYC shortly after 9/11,2025-03-25
,"Meet Williamina Fleming, a 19th-century Scottish maid who became an astronomer",2025-03-25
,"Yes, Morgan Freeman once said he was a 'huge fan' of Elon Musk",2025-03-25
,Photos don't show NASA astronaut returned to Earth with dark hair despite it being gray in space,2025-03-25
,'District of America'? Fake audio features Trump pondering DC name change,2025-03-25
,"DOD removed pages that referenced the Holocaust, then restored at least one",2025-03-25
,No credible evidence supports claims of vast underground structures found beneath Egyptian pyramids,2025-03-25
,ICE detained Canadian 'American Pie' actor Jasmine Mooney for 12 days,2025-03-25
,"Yes, major Tesla investor called for Musk to step down as CEO",2025-03-25
,"No, video doesn't show Turkish protest against Erdogan",2025-03-25
,Trump's takeover of White House press pool selection isn't same as Biden's limits on press pass eligibility,2025-03-25
,Photo of 'imperial red banners' with Trump's likeness outside Kennedy Center isn't real,2025-03-25
,"DOD removed, then restored, article about Jackie Robinson in anti-DEI 'content refresh'",2025-03-25
,False story claims judge punished Pam Bondi for wearing cross necklace,2025-03-25
,False story claims judge punished Pam Bondi for wearing cross necklace,2025-03-25
,"No, World Economic Forum didn't demand global ban on homegrown food",2025-03-25
,Photo allegedly showing 1963 JFK letter about arresting Hillary Clinton is fake,2025-03-25
,"Did Jim Carrey say, 'Grief is not just an emotion — it's an unraveling'?",2025-03-25
,"DOD removed pages about Native American Iwo Jima veteran Ira Hayes — then restored one, with changes",2025-03-25
,Trump administration removed Navajo Code Talker history from military websites per anti-DEI orders,2025-03-25
,Photos show all-white orca off Japanese coast,2025-03-25
