strong penalty,-0.89
barely concern,0.67
no recover,-0.5
hardly climb,-0.66
never excel,-0.64
notable innovative,0.87
substantial resilient,0.82
massive worsen,-0.89
gain n't,-0.59
major negative,-0.94
not tension,0.84
major deficit,-0.93
pronounced fail,-0.92
extensive bullish,0.88
increase deficit,-0.73
no default,0.71
not accelerate,-0.78
barely gain,-0.63
barely progress,-0.65
hardly unstable,0.68
no tension,0.82
barely opportunity,-0.67
market research update,0.03
barely great,-0.69
significant advance,0.95
hardly problem,0.68
tremendous robust,0.95
no expansion,-0.72
neither underperform nor underperform,0.63
much increase,0.84
enormous expansion,0.84
strong premium,0.88
not promising,-0.8
reduce n't,0.74
hardly caution,0.54
rising debt levels,-0.63
strong good,0.87
immense accelerate,0.84
great double,0.94
hardly drop,0.55
neither promising nor promising,-0.8
lawsuit n't,0.54
pronounced flourish,0.91
tremendous above,0.86
tremendous concern,-0.82
massive underperform,-0.88
much suspend,-0.86
investor fear increases,-0.71
marked surprisingly,0.87
hefty negative,-0.86
marked favorable,0.88
hardly advance,-0.72
scarcely fail,0.64
no climb,-0.79
considerable shrink,-0.83
tremendous drop,-0.81
miss n't,0.73
huge fall,-0.85
never high,-0.64
neither success nor success,-0.74
business environment report,0.17
scarcely tension,0.78
great underperform,-0.92
stricter regulations boosting confidence,0.77
meaningful bearish,-0.82
hefty gain,0.96
huge superior,0.96
pronounced terminate,-0.96
immense lawsuit,-0.81
huge decline,-0.95
reward n't,-0.8
notable threat,-0.97
massive decrease,-0.88
scarcely below,0.73
huge accelerate,0.81
scarcely decline,0.7
not ascent,-0.79
meaningful profitable,0.95
market analysis report,-0.11
great surpass,0.95
hefty slowdown,-0.95
hardly outstanding,-0.64
advance n't,-0.69
enormous strain,-0.82
pronounced up,0.83
massive downside,-0.92
hardly concern,0.71
enormous uncertain,-0.84
much dive,-0.84
extensive volatile,-0.81
immense boost,0.87
great fear,-0.87
much boost,0.9
considerable leadership,0.91
substantial rise,0.92
strong triple,0.95
significant collapse,-0.96
enormous strong,0.87
huge higher,0.8
neither warning nor warning,0.72
slow,0.1
huge warning,-0.97
substantial debt,-0.93
never reward,-0.68
massive upside,0.82
strong wide,0.84
not problem,0.74
negative n't,0.71
tremendous double,0.86
extensive progress,0.8
litigation n't,0.6
scarcely opportunity,-0.74
massive obsolete,-0.92
massive investigation,-0.85
huge up,0.88
growth with rising inflation,-0.62
barely slowdown,0.8
inflation higher than forecast but stabilizing,0.71
scarcely contract,0.76
never unstable,0.67
pronounced expand,0.83
great jump,0.93
strong terminate,-0.87
pronounced efficient,0.89
much beat,0.89
degeneration n't,0.66
major threat,-0.83
notable reduce,-0.89
great bad,-0.92
barely maximize,-0.81
substantial improve,0.91
strong underperform,-0.96
hardly profitable,-0.62
marked slump,-0.84
tremendous accelerate,0.92
scarcely decrease,0.78
notable above,0.85
meaningful peak,0.92
neither loss nor loss,0.8
significant grow,0.82
considerable unpredictable,-0.97
major expand,0.82
no progress,-0.76
immense slump,-0.96
stability n't,-0.64
efficient n't,-0.74
tremendous poor,-0.91
large thrive,0.85
reduce risk,0.6
barely dive,0.78
extensive fall,-0.88
not bearish,0.71
extensive disappoint,-0.84
grow,0.67
upgrade n't,-0.68
scarcely ascent,-0.69
never progress,-0.84
hardly collapse,0.81
hardly bearish,0.71
higher unemployment,-0.64
not increase,-0.68
tremendous below,-0.83
no dive,0.7
investment drop,-0.66
neither improve nor improve,-0.81
marked hike,0.96
half,-0.6
neither concern nor concern,0.67
hefty taper,-0.91
upgrade,0.73
hefty default,-0.94
excel,0.67
never success,-0.75
hardly advantage,-0.63
never double,-0.69
notable opportunity,0.9
tremendous fall,-0.94
much slow,0.89
buybacks during market downturn,0.73
volatile n't,0.87
scarcely high,-0.57
surpass expectations but lose,-0.73
massive opportunity,0.85
hefty layoff,-0.89
hefty boost,0.89
strong rise,0.86
fall,-0.8
hardly resilient,-0.71
neither advance nor advance,-0.53
not uncertain,0.55
neither worsen nor worsen,0.57
hardly uncertain,0.56
pronounced tension,-0.94
pronounced earn,0.88
immense underperform,-0.94
scarcely profitable,-0.57
extensive upside,0.87
scarcely dive,0.7
outlook,-0.17
meaningful vulnerability,-0.89
economic slowdown,-0.79
strong maximize,0.85
considerable decrease,-0.83
shareholder structure,-0.11
substantial maximize,0.82
hardly double,-0.68
neither boost nor boost,-0.59
deteriorate n't,0.68
meaningful underperform,-0.92
earn,0.74
marked excel,0.91
meaningful shrink,-0.85
cost optimization,0.72
thrive,0.78
meaningful progress,0.93
large excel,0.9
hefty improve,0.94
hefty win,0.96
huge increase,0.87
notable uncertain,-0.85
recover,0.6
marked downgrade,-0.85
pronounced impressive,0.81
major disappoint,-0.82
profit margins rise,0.79
great writedown,-0.97
huge slow,-0.85
great grow,0.83
pronounced descent,-0.9
extensive liquidation,-0.95
accelerating downturn,-0.62
strong fall,-0.81
huge progress,0.93
enormous lawsuit,-0.81
notable half,-0.93
meaningful slowdown,-0.93
no increase,-0.66
strategic restructuring,0.79
scarcely fear,0.71
meaningful efficient,0.8
massive litigation,-0.94
considerable concern,-0.86
enormous bearish,-0.87
major triple,0.94
meaningful improve,0.87
large decrease,-0.87
market expectation,0.15
double n't,-0.74
neither threat nor threat,0.62
barely gain,-0.65
substantial accelerate,0.85
pronounced recession,-0.95
hardly bankruptcy,0.67
significant strain,-0.88
not downside,0.65
notable gain,0.96
beat,0.61
huge down,-0.94
notable profitable,0.95
considerable robust,0.95
immense strain,-0.88
extensive decrease,-0.85
higher capital requirements improving stability,0.75
notable rise,0.89
descent n't,0.55
huge robust,0.97
huge rally,0.83
considerable strong,0.93
much decrease,-0.82
substantial degeneration,-0.83
enormous half,-0.91
enormous boost,0.91
marked up,0.92
never deteriorate,0.75
never slow,0.87
pronounced good,0.89
not progress,-0.81
discussion,-0.06
hardly fail,0.75
strong soar,0.89
strong worsen,-0.82
massive hike,0.82
considerable stability,0.92
great higher,0.84
massive disappoint,-0.92
large increase,0.86
strong unstable,-0.95
never breakthrough,-0.69
meaningful surprisingly,0.85
immense surpass,0.92
barely expand,-0.78
major headwind,-0.85
strong reward,0.82
strong jump,0.85
decrease losses,0.79
not beat,-0.62
meaningful reward,0.89
meaningful disappoint,-0.94
considerable profitable,0.97
extensive promising,0.95
notable downside,-0.87
scarcely above,-0.73
neither negative nor negative,0.8
hefty unpredictable,-0.88
strong peak,0.87
hefty deteriorate,-0.94
neither increase nor increase,-0.66
marked increase,0.89
great degeneration,-0.93
soar,0.62
hardly boost,-0.61
ascent,0.7
significant peak,0.9
much lawsuit,-0.9
pharmaceutical patent expiry but generic opportunities,0.64
never improve,-0.7
great slump,-0.85
enormous dive,-0.9
scarcely favorable,-0.65
large climb,0.81
great boost,0.97
strong double,0.84
huge favorable,0.85
never advance,-0.75
extensive half,-0.82
major recover,0.86
extensive weak,-0.94
significant degeneration,-0.88
dividends increase,0.6
stock price plummets,-0.7
strong shrink,-0.89
considerable gain,0.89
capital markets analysis,-0.2
never downside,0.59
significant strong,0.87
extensive bearish,-0.97
boost in negative returns,-0.77
marked decrease,-0.92
target,-0.11
meaningful writedown,-0.92
no underperform,0.55
neither opportunity nor opportunity,-0.81
poor,-0.67
major high,0.86
accelerate n't,-0.73
scarcely risk,0.57
never jump,-0.71
immense below,-0.91
large double,0.84
not gain,-0.59
marked down,-0.88
immense concern,-0.88
scarcely advance,-0.64
marked vulnerability,-0.82
scarcely downside,0.55
investment value up,0.79
massive reward,0.82
hardly progress,-0.65
much wide,0.84
immense recover,0.97
great crash,-0.94
not slump,0.67
immense up,0.91
much superior,0.82
huge poor,-0.83
scarcely underperform,0.56
considerable surprisingly,0.92
extensive surge,0.89
not volatile,0.79
dive n't,0.77
hardly contract,0.81
enormous advantage,0.94
meaningful collapse,-0.95
barely deteriorate,0.66
meaningful drop,-0.9
substantial decrease,-0.82
large unpredictable,-0.93
meaningful decline,-0.91
innovative n't,-0.76
much unpredictable,-0.95
insignificant,0.15
extensive warning,-0.8
marked fear,-0.8
enormous surprisingly,0.92
massive prosper,0.92
much weak,-0.92
scarcely taper,0.64
much rise,0.97
hardly soar,-0.56
large upside,0.96
uncertain,-0.64
major decrease,-0.9
scarcely good,-0.59
notable vulnerability,-0.93
neither decline nor decline,0.62
marked decline,-0.87
substantial underperform,-0.9
meaningful triple,0.94
enormous breakthrough,0.84
notable bankruptcy,-0.81
enhanced productivity,0.75
meaningful jump,0.93
great rise,0.92
considerable prosper,0.83
breakthrough,0.69
not jump,-0.54
immense downgrade,-0.82
tremendous layoff,-0.92
pronounced collapse,-0.85
barely higher,-0.59
substantial strong,0.83
substantial climb,0.83
considerable ascent,0.86
twice,0.75
massive breakthrough,0.95
pronounced struggle,-0.87
stock price drops,-0.78
huge litigation,-0.88
drop,-0.76
massive vulnerability,-0.83
tremendous bullish,0.89
scarcely earn,-0.66
massive climb,0.8
substantial decrease,-0.89
neither plunge nor plunge,0.68
never triple,-0.69
much collapse,-0.84
meaningful rise,0.93
major superior,0.85
hefty drop,-0.93
hardly upgrade,-0.66
significant resilient,0.87
strong grow,0.83
much outperform,0.83
immense momentum,0.88
investor optimism increases,0.76
strong suspend,-0.8
scarcely breakthrough,-0.8
massive strain,-0.94
immense maximize,0.82
strong slow,0.93
immense degeneration,-0.97
meaningful crash,-0.88
extensive debt,-0.89
strong risk,-0.85
never litigation,0.73
pronounced suspend,-0.91
huge progress,0.95
enormous unpredictable,-0.82
mark-to-market losses but improved underlying business,-0.73
meaningful penalty,-0.93
marked decrease,-0.91
considerable slump,-0.83
huge slow,0.82
no grow,-0.66
massive momentum,0.87
massive low,-0.84
rise,0.69
struggle,-0.63
extensive negative,-0.96
hefty good,0.95
debt,-0.71
neither climb nor climb,-0.65
not default,0.73
neither superior nor superior,-0.61
neither below nor below,0.8
significant profitable,0.84
significant twice,0.87
scarcely default,0.67
huge boost,0.83
terminate,-0.73
neither litigation nor litigation,0.77
neither decrease nor decrease,0.77
large low,-0.82
downgrade n't,0.61
much bankruptcy,-0.95
no slump,0.6
neither slow nor slow,-0.18
marked premium,0.83
scarcely climb,-0.68
neither shrink nor shrink,0.58
unpredictable n't,0.69
outstanding,0.63
significant deteriorate,-0.96
strong bearish,-0.91
caution n't,0.59
hefty expand,0.89
huge leadership,0.93
substantial default,-0.97
massive dive,-0.84
large disappoint,-0.85
major double,0.84
notable recover,0.94
plunge n't,0.81
hefty twice,0.85
much strain,-0.84
immense improve,0.9
significant ascent,0.89
lose n't,0.62
neither fall nor fall,0.87
tremendous crash,-0.82
hardly struggle,0.56
earnings dip,-0.75
neither problem nor problem,0.7
significant lawsuit,-0.95
major boost,0.82
major fail,-0.87
much downside,-0.84
significant disappoint,-0.88
never great,-0.67
extensive boost,0.83
major breakthrough,0.9
not surge,-0.77
large warning,-0.9
not stability,-0.67
lower inflation,0.67
no fear,0.69
strong surge,0.83
downward revision of upward estimates,-0.79
hardly grow,-0.63
massive maximize,0.94
notable challenge,-0.94
significant suspend,-0.81
substantial triple,0.93
marked pressure,-0.82
neither amazing nor amazing,-0.69
strong deteriorate,-0.86
large advance,0.91
immense plunge,-0.97
meaningful deteriorate,-0.95
triple n't,-0.74
large poor,-0.9
immense collapse,-0.92
huge advance,0.8
immense decrease,-0.95
barely earn,-0.64
large loss,-0.88
massive grow,0.94
extensive improve,0.95
large fall,-0.86
considerable accelerate,0.87
meaningful negative,-0.96
strong half,-0.94
significant downside,-0.94
hardly peak,-0.65
enormous earn,0.93
fiscal report,-0.02
large negative,-0.89
never gain,-0.63
strong writedown,-0.85
hardly recession,0.72
hefty crash,-0.85
tremendous slump,-0.93
no upside,-0.6
barely volatile,0.82
never fear,0.78
substantial deteriorate,-0.94
neither grow nor grow,-0.76
huge rise,0.83
strong bullish sentiment,0.76
large favorable,0.94
enormous strength,0.87
barely twice,-0.79
significant risk,-0.92
scarcely progress,-0.65
meaningful suspend,-0.96
strong grow,0.82
pronounced penalty,-0.86
massive negative,-0.86
hardly gain,-0.73
marked ascent,0.86
huge rebound,0.9
significant rebound,0.89
extensive boost,0.94
barely amazing,-0.58
extensive lose,-0.82
immense peak,0.95
neither soar nor soar,-0.58
tremendous amazing,0.95
hefty advantage,0.95
extensive taper,-0.82
large strength,0.85
never fall,0.87
major increase,0.8
never caution,0.54
enormous surge,0.9
substantial progress,0.82
not underperform,0.73
major caution,-0.94
large headwind,-0.91
pronounced beat,0.92
substantial rebound,0.86
much slow,-0.86
strong bearish,-0.96
not lawsuit,0.62
huge negative,-0.82
massive impressive,0.97
decrease n't,0.62
great surprisingly,0.82
large challenge,-0.95
large recession,-0.86
hardly reduce,0.65
extensive degeneration,-0.8
hefty underperform,-0.96
wide n't,-0.81
major rally,0.8
immense loss,-0.91
substantial bankruptcy,-0.86
extensive ascent,0.9
massive decline,-0.95
fiscal strength,0.68
much rise,0.9
much profitable,0.92
great advantage,0.85
hardly deficit,0.73
never layoff,0.69
immense advantage,0.85
hardly ascent,-0.72
no decline,0.69
considerable grow,0.94
pronounced crash,-0.88
huge recession,-0.94
profitable n't,-0.64
extensive terminate,-0.84
marked dive,-0.86
not downside,0.72
pronounced success,0.86
no rise,-0.79
notable low,-0.86
great dive,-0.91
massive beat,0.92
no thrive,-0.78
no upgrade,-0.69
hefty concern,-0.89
efficient,0.77
immense triple,0.96
major below,-0.88
major terminate,-0.82
crash,-0.78
substantial double,0.86
substantial increase,0.9
meaningful exceed,0.81
hardly twice,-0.68
immense tension,-0.95
strong disappoint,-0.94
hardly shortage,0.58
immense resilient,0.94
meaningful outperform,0.92
hefty threat,-0.95
barely leadership,-0.71
considerable rise,0.89
substantial progress,0.86
enormous rise,0.85
huge optimistic,0.96
scarcely liquidation,0.62
great reduce,-0.96
enormous good,0.9
breakthrough n't,-0.81
neither jump nor jump,-0.7
barely outperform,-0.74
extensive optimistic,0.92
no poor,0.61
much bearish,-0.87
pronounced miss,-0.83
significant win,0.82
pronounced climb,0.83
hefty higher,0.97
not bad,0.6
hefty promising,0.92
meaningful well,0.87
tremendous surpass,0.89
not liquidation,0.73
never peak,-0.53
notable writedown,-0.96
considerable outperform,0.88
large hike,0.83
neither hike nor hike,-0.79
corporate earnings,0.19
enormous rebound,0.93
meaningful soar,0.81
barely triple,-0.73
strong decline,-0.96
scarcely success,-0.62
immense volatile,-0.84
hefty miss,-0.83
strong default,-0.85
considerable grow,0.94
hefty decrease,-0.82
marked wide,0.82
enormous fear,-0.83
considerable dive,-0.83
much rally,0.91
tremendous threat,-0.96
not down,0.66
much contract,-0.86
meaningful default,-0.81
not strain,0.7
strong fall,-0.91
scarcely maximize,-0.84
great high,0.86
massive outperform,0.96
significant increase,0.86
strong,0.61
great volatile,-0.93
marked innovative,0.9
huge slump,-0.92
massive higher,0.81
pronounced upgrade,0.91
considerable rebound,0.84
win n't,-0.52
huge advantage,0.82
immense breakthrough,0.95
ascent n't,-0.8
considerable writedown,-0.91
meaningful boost,0.8
extensive crash,-0.91
no favorable,-0.68
substantial progress,0.81
meaningful expansion,0.9
marked unpredictable,-0.81
advantage n't,-0.63
major suspend,-0.82
mining production cuts stabilizing prices,0.77
much opportunity,0.82
routine,-0.18
pronounced uncertain,-0.95
immense miss,-0.84
extensive below,-0.92
massive innovative,0.89
decline in profits,-0.76
scarcely rise,-0.76
much expansion,0.87
large rise,0.92
strong surpass,0.87
tremendous gain,0.95
great opportunity,0.95
marked outperform,0.89
huge deteriorate,-0.89
huge excel,0.93
hardly triple,-0.61
large grow,0.82
huge surpass,0.96
extensive earn,0.86
meaningful fail,-0.87
significant uncertain,-0.83
no exceed,-0.66
notable hike,0.95
huge opportunity,0.88
much negative,-0.9
large drop,-0.81
significant taper,-0.93
meaningful up,0.82
meaningful surpass,0.82
vulnerability n't,0.66
no progress,-0.67
litigation,-0.7
huge exceed,0.91
much fail,-0.97
substantial favorable,0.81
notable debt,-0.83
hefty litigation,-0.91
great downgrade,-0.92
hefty volatile,-0.95
massive leadership,0.86
currency devaluation boosting exports,0.74
massive deficit,-0.83
superior n't,-0.63
strong ascent,0.87
marked surpass,0.9
barely slow,-0.12
neither breakthrough nor breakthrough,-0.69
massive exceed,0.91
massive penalty,-0.91
enormous fail,-0.93
