extensive plunge,-0.81
tariff increase impact supply chain,-0.71
tremendous bullish,0.91
large weak business result,-0.85
meaningful loss,-0.93
immense below,-0.83
large jump,0.87
enormous outperform,0.91
considerable ascent,0.92
enormous breakthrough,0.96
hefty decline revenue,-0.95
huge decrease,-0.87
considerable bullish,0.87
large excel,0.81
meaningful company performance exceed,0.89
great growth in liability,-0.85
not recession risk grow,0.63
shareholder structure,0.09
huge favorable,0.86
much optimistic market forecast,0.92
notable strategic restructuring,0.96
considerable bearish,-0.97
immense concern,-0.87
massive dividend grow,0.92
considerable rebound,0.95
extensive weak,-0.92
massive weak,-0.83
strong cost optimization,0.85
great drop,-0.84
hefty below,-0.87
enormous bad,-0.9
neither climb unemployment nor climb unemployment,0.76
considerable economic boom,0.81
significant expand,0.93
enormous earning boost,0.83
pronounce diminish debt,0.81
loss of investor confidence,-0.71
great successful market strategy,0.97
major lawsuit,-0.93
n't unexpected financial loss,0.62
notable upgrade,0.92
major hike,0.94
tremendous twice,0.85
neither investor fear increase nor investor fear increase,0.67
mark downside,-0.93
large increase,0.85
not climb unemployment,0.78
strong profitable,0.85
great debt,-0.97
pronounce efficient,0.84
n't fall cost,-0.67
considerable earn,0.87
hefty vulnerability,-0.86
huge stock price plummet,-0.89
decline stock value,-0.72
successful restructuring with job loss,-0.68
great ascent,0.88
much revenue loss,-0.8
great decrease,-0.83
notable earn dip,-0.95
immense decline,-0.96
mark business suffering loss,-0.92
much downside,-0.85
no dividend increase,-0.71
hefty economic contraction,-0.95
large decrease loss,0.91
huge efficient cost structure,0.83
target estimate,-0.13
not robust sell - off,0.68
much upward trend,0.86
substantial improve,0.8
large fail,-0.91
fall in revenue,-0.77
considerable downgrade,-0.94
major risk,-0.89
tremendous favorable refinancing,0.84
mark fall,-0.85
pronounce stability,0.94
large high,0.95
substantial increase lossstock plunge,-0.92
great revenue reduction,-0.97
not credit risk,0.79
meaningful economy improve,0.82
mark hike,0.9
great high,0.86
cut excessive spending,0.74
pronounce rise,0.81
great surge,0.82
meaningful recession risk grow,-0.95
great weak economic indicator,-0.96
tremendous contraction,-0.87
not poor financial performance,0.67
hefty shrink,-0.82
much success,0.89
enormous impressive,0.9
annual report,-0.02
strong slow,-0.95
meaningful lawsuit,-0.86
never earn rise,-0.67
strong pressure,-0.81
no progress,-0.61
huge business revenue grow,0.89
substantial market hesitation,-0.84
meaningful recover,0.83
strong gain,0.87
n't half,0.79
neither advance nor advance,-0.76
pronounce tension,-0.82
never lawsuit,0.69
strong enhance productivity,0.96
extensive widen trade deficit,-0.85
much stock price increase,0.84
significant unstable,-0.86
notable recover,0.81
substantial favorable,0.96
mark progress,0.83
significant exceed,0.95
extensive decline stock value,-0.89
much enhance productivity,0.94
capital market analysis,0.0
huge company performance drop,-0.83
large recover,0.89
significant economic recession,-0.96
considerable increase,0.89
pronounce innovative,0.92
meaningful deteriorate,-0.86
meaningful crash,-0.94
notable strong bullish sentiment,0.9
considerable loss,-0.86
n't cut expense,-0.75
meaningful rally,0.81
favorable,0.72
hefty downside,-0.84
massive upgrade,0.89
meaningful rebound,0.93
major deteriorate,-0.94
meaningful accelerate,0.95
mark challenge,-0.81
notable market crash,-0.91
major recession,-0.81
huge bearish,-0.92
meaningful liquidation,-0.86
much progress,0.83
considerable fear,-0.94
hefty market rally,0.87
never market crash,0.61
significant investigation,-0.85
major outperform,0.88
pronounce strong,0.82
hefty rise risk,-0.93
enormous decline,-0.91
neither downside nor downside,0.62
strong miss,-0.86
great warn,-0.9
no financial deterioration,0.72
extensive crash,-0.97
enormous strong bullish sentiment,0.93
tremendous decline,-0.94
enormous low cost,0.89
not up,-0.8
neither fear nor fear,0.69
immense expansion,0.89
hefty earn decline,-0.91
much company 's profit grow,0.81
n't surge in inflation,0.53
pronounce triple,0.87
strong business growth,0.85
massive low cost,0.95
reward,0.75
extensive innovative,0.87
never investigation,0.59
huge bearish,-0.95
major financial stress increase,-0.88
enormous profit margin rise,0.87
great headwind,-0.94
substantial boost in profit,0.88
considerable credit risk,-0.92
much stock surge,0.9
major bear market,-0.81
considerable optimistic,0.95
huge dividend increase,0.82
strong challenge,-0.89
large economic regression,-0.94
extensive ascent,0.82
strong bearish,-0.88
significant decrease,-0.83
immense business revenue grow,0.84
significant excel,0.86
hefty streamlined operation,0.94
great rebound,0.84
substantial descent,-0.85
neither debt nor debt,0.71
hefty cost optimization,0.85
enormous strong economic indicator,0.85
strong growth in liability,-0.93
massive recession risk grow,-0.92
pronounce downside,-0.95
strong earning growth,0.72
neither terminate nor terminate,0.6
enormous soar,0.83
great pressure,-0.88
no layoff,0.77
pronounce strong market performance,0.88
n't decline stock value,0.77
major unpredictable,-0.91
meet,0.09
meaningful investigation,-0.89
tremendous unexpected financial loss,-0.92
major profit margin rise,0.84
orderly liquidation,-0.62
significant breakthrough,0.81
great credit risk,-0.89
no stock price plummet,0.74
company performance drop,-0.67
no bankruptcy concern,0.56
enormous investment rise,0.96
notable problem,-0.96
much loss of investor confidence,-0.82
neither company outperform expectation nor company outperform expectation,-0.7
considerable earn rise,0.89
pronounce vulnerability,-0.9
huge economic expansion,0.81
hefty flourish,0.86
considerable rise in debt,-0.84
large decrease dividend,-0.87
significant half,-0.91
no company 's profit fall,0.55
extensive descent,-0.8
great business decline,-0.92
extensive underperform,-0.83
mark strengthen headwind,-0.86
pronounce asset increase,0.9
mark concern,-0.9
great market collapse,-0.93
report,-0.04
tremendous market contraction,-0.88
never substantial growth,-0.76
considerable wide,0.93
enormous company 's profit fall,-0.89
mark robust,0.96
considerable slump,-0.95
revenue increase,0.72
significant descent,-0.8
not below,0.68
neither miss nor miss,0.81
enormous advance,0.92
much decrease loss,0.96
never crash,0.72
not stock surge,-0.79
massive boost in expense,-0.82
hefty expand cost,-0.81
major fall cost,0.93
much slow,0.92
much stability,0.94
huge fall,-0.81
meaningful weak economic indicator,-0.88
tremendous decline revenue,-0.9
no default,0.69
meaningful strain,-0.8
meaningful fear,-0.9
mark shrink deficit,0.84
strong successful market strategy,0.93
notable low cost,0.87
suspend,-0.62
considerable unstable,-0.95
meaningful decrease,-0.93
considerable dividend increase,0.95
meaningful vulnerability,-0.8
major downside,-0.85
considerable favorable,0.84
no tension,0.6
not ascent,-0.5
mark advance,0.84
immense financial deterioration,-0.93
meaningful business performance worsen,-0.83
strong expansion,0.86
enormous bearish,-0.9
neither grow nor grow,-0.85
grow,0.63
meaningful rise in debt,-0.93
never drop,0.66
considerable momentum,0.81
substantial cut expense,0.96
considerable deteriorate,-0.93
extensive volatile,-0.9
substantial high debt burden,-0.95
mark bankruptcy concern,-0.95
substantial earn dip,-0.82
extensive headwind,-0.91
pronounce unstable,-0.82
enormous obsolete,-0.81
massive increase,0.95
not upward trend,-0.7
enormous economy improve,0.82
massive substantial growth,0.82
considerable revenue reduction,-0.81
substantial dive,-0.94
major strong future outlook,0.9
n't degeneration,0.87
great concern,-0.93
extensive optimistic,0.95
no economic downturn,0.76
significant boost in expense,-0.84
tremendous exceed,0.96
no financial crisis,0.64
no market rally,-0.67
significant slow,-0.88
neither economic contraction nor economic contraction,0.78
mark fiscal strength,0.85
not unpredictable,0.71
